Product Id,Purchased Id,Product Name,Purchased Qty,Price Per Quantity
1000,3653f558-cb39-11ea-917b-1c3e84af35a9,0 Product 0,134,9771
1001,3653f559-cb39-11ea-917b-1c3e84af35a9,1 Product 1,116,8301
1002,3653f55a-cb39-11ea-917b-1c3e84af35a9,2 Product 2,119,3807
1003,3653f55b-cb39-11ea-917b-1c3e84af35a9,3 Product 3,138,8979
1004,3653f55c-cb39-11ea-917b-1c3e84af35a9,4 Product 4,73,2449
1005,3653f55d-cb39-11ea-917b-1c3e84af35a9,5 Product 5,73,11499
1006,3653f55e-cb39-11ea-917b-1c3e84af35a9,6 Product 6,60,8581
1007,3653f55f-cb39-11ea-917b-1c3e84af35a9,7 Product 7,26,10214
1008,3653f560-cb39-11ea-917b-1c3e84af35a9,8 Product 8,149,5688
1009,3653f561-cb39-11ea-917b-1c3e84af35a9,9 Product 9,103,12960
10010,3653f562-cb39-11ea-917b-1c3e84af35a9,10 Product 10,16,8106
10011,3653f563-cb39-11ea-917b-1c3e84af35a9,11 Product 11,3,7656
10012,3653f564-cb39-11ea-917b-1c3e84af35a9,12 Product 12,61,7378
10013,3653f565-cb39-11ea-917b-1c3e84af35a9,13 Product 13,55,9327
10014,3653f566-cb39-11ea-917b-1c3e84af35a9,14 Product 14,87,6416
10015,3653f567-cb39-11ea-917b-1c3e84af35a9,15 Product 15,127,7366
10016,3653f568-cb39-11ea-917b-1c3e84af35a9,16 Product 16,48,3464
10017,3653f569-cb39-11ea-917b-1c3e84af35a9,17 Product 17,48,2829
10018,3653f56a-cb39-11ea-917b-1c3e84af35a9,18 Product 18,23,13368
10019,3653f56b-cb39-11ea-917b-1c3e84af35a9,19 Product 19,106,7194
10020,3653f56c-cb39-11ea-917b-1c3e84af35a9,20 Product 20,82,14730
10021,3653f56d-cb39-11ea-917b-1c3e84af35a9,21 Product 21,181,9834
10022,3653f56e-cb39-11ea-917b-1c3e84af35a9,22 Product 22,169,6369
10023,3653f56f-cb39-11ea-917b-1c3e84af35a9,23 Product 23,174,10623
10024,3653f570-cb39-11ea-917b-1c3e84af35a9,24 Product 24,82,5929
10025,3653f571-cb39-11ea-917b-1c3e84af35a9,25 Product 25,130,12454
10026,3653f572-cb39-11ea-917b-1c3e84af35a9,26 Product 26,13,10453
10027,3653f573-cb39-11ea-917b-1c3e84af35a9,27 Product 27,66,4956
10028,3653f574-cb39-11ea-917b-1c3e84af35a9,28 Product 28,49,13950
10029,3653f575-cb39-11ea-917b-1c3e84af35a9,29 Product 29,131,8773
10030,3653f576-cb39-11ea-917b-1c3e84af35a9,30 Product 30,111,2317
10031,3653f577-cb39-11ea-917b-1c3e84af35a9,31 Product 31,49,13541
10032,3653f578-cb39-11ea-917b-1c3e84af35a9,32 Product 32,17,14597
10033,3653f579-cb39-11ea-917b-1c3e84af35a9,33 Product 33,96,10889
10034,3653f57a-cb39-11ea-917b-1c3e84af35a9,34 Product 34,192,1555
10035,3653f57b-cb39-11ea-917b-1c3e84af35a9,35 Product 35,19,7564
10036,3653f57c-cb39-11ea-917b-1c3e84af35a9,36 Product 36,133,7252
10037,3653f57d-cb39-11ea-917b-1c3e84af35a9,37 Product 37,137,6553
10038,3653f57e-cb39-11ea-917b-1c3e84af35a9,38 Product 38,190,1458
10039,3653f57f-cb39-11ea-917b-1c3e84af35a9,39 Product 39,148,7296
10040,3653f580-cb39-11ea-917b-1c3e84af35a9,40 Product 40,126,1019
10041,3653f581-cb39-11ea-917b-1c3e84af35a9,41 Product 41,48,1942
10042,3653f582-cb39-11ea-917b-1c3e84af35a9,42 Product 42,111,11273
10043,3653f583-cb39-11ea-917b-1c3e84af35a9,43 Product 43,95,9705
10044,3653f584-cb39-11ea-917b-1c3e84af35a9,44 Product 44,59,7439
10045,3653f585-cb39-11ea-917b-1c3e84af35a9,45 Product 45,195,4343
10046,3653f586-cb39-11ea-917b-1c3e84af35a9,46 Product 46,162,1499
10047,3653f587-cb39-11ea-917b-1c3e84af35a9,47 Product 47,185,10116
10048,3653f588-cb39-11ea-917b-1c3e84af35a9,48 Product 48,81,6175
10049,3653f589-cb39-11ea-917b-1c3e84af35a9,49 Product 49,41,5072
10050,3653f58a-cb39-11ea-917b-1c3e84af35a9,50 Product 50,29,13427
10051,3653f58b-cb39-11ea-917b-1c3e84af35a9,51 Product 51,28,2881
10052,3653f58c-cb39-11ea-917b-1c3e84af35a9,52 Product 52,163,5334
10053,3653f58d-cb39-11ea-917b-1c3e84af35a9,53 Product 53,187,1409
10054,3653f58e-cb39-11ea-917b-1c3e84af35a9,54 Product 54,57,3520
10055,3653f58f-cb39-11ea-917b-1c3e84af35a9,55 Product 55,109,2096
10056,3653f590-cb39-11ea-917b-1c3e84af35a9,56 Product 56,171,11998
10057,3653f591-cb39-11ea-917b-1c3e84af35a9,57 Product 57,41,12427
10058,3653f592-cb39-11ea-917b-1c3e84af35a9,58 Product 58,134,5280
10059,3653f593-cb39-11ea-917b-1c3e84af35a9,59 Product 59,25,2497
10060,3653f594-cb39-11ea-917b-1c3e84af35a9,60 Product 60,44,1730
10061,3653f595-cb39-11ea-917b-1c3e84af35a9,61 Product 61,169,13768
10062,3653f596-cb39-11ea-917b-1c3e84af35a9,62 Product 62,163,6953